pmid,title,authors,year,journal,abstract
33578105,"Secondary analysis of loot box data: Are high-spending ""whales"" wealthy gamers or problem gamblers?",Close James et al.,2021,Addictive behaviors,"Loot boxes are purchasable randomised reward mechanisms in video games. Due to structural and psychological similarities with gambling, there are fears that loot box purchasing may be associated with problematic gambling. Whilst monthly expenditure is typically modest (i.e. < $20), the distribution is highly skewed, with a small number of high-level spenders, sometimes referred to as ""whales"". It is not known what proportion of industry profits are derived from such players, and whether they are typically wealthy individuals and/or problem gamblers. We used structured literature searches to identify surveys of gamers with open-access loot box data. The resulting datasets were aggregated, and correlations between loot box expenditure, problem gambling and earnings investigated using Spearman's rho correlations. The combined open-access data comprised 7,767 loot box purchasers (5,933 with self-report earnings). Secondary analysis of this self-report data confirmed that disproportionate revenue appears to be generated from high-level spenders: the top 5% of spenders (> $100/month) represent half of loot box revenue. Previously reported correlations between problem gambling and loot box expenditure were confirmed, with an aggregate correlation of ρ = 0.34, p < .001. In contrast, there was no significant correlation between loot box spend and earnings ρ = 0.02, p = .10. Our secondary analysis suggests that games developers (unwittingly or not) are disproportionately profiting from moderate and high-risk gamblers, rather than high earning customers. Such patterns of spending mirror those observed with gambling revenues, and have implications for harm minimisation and ongoing policy debates around loot boxes."
40307922,"A longitudinal replication study testing migration from video game loot boxes to gambling in British Columbia, Canada.",Palmer Lucas et al.,2025,BMC psychology,"Loot boxes are randomized reward mechanics in modern video games that share features with conventional gambling products. Research studies have begun to test longitudinal patterns (""migration"") from engagement with loot boxes to gambling behavior. This study investigated such effects at a 6-month follow-up in an online sample of young adults that play video games (aged 19-25) from British Columbia, Canada. Participants were stratified into two subgroups at their baseline assessment: 83 reported they did not currently gamble and 43 reported they currently gamble, after cleaning. At baseline, participants provided responses to the Risky Loot Box Index (RLI) and estimates of their past year spending on both randomized (i.e., loot boxes) and non-randomized (""direct purchase"") microtransactions. Microtransaction spending and RLI scores at baseline were tested as predictors of self-identified gambling initiation and spend at follow-up. We tested a set of frequentist regressions and a corresponding set of Bayesian regressions. At baseline, participants who reported gambling showed higher levels of engagement with both randomized and non-randomized microtransactions. Among non-gambling participants at baseline, loot box spending and RLI predicted gambling initiation at the follow-up, in a Bayesian logistic regression with informed priors. Loot box spending and RLI at baseline predicted gambling expenditure at follow-up, in both the frequentist and Bayesian linear regressions. Spending on direct purchase microtransactions did not predict gambling initiation in either set of models when controlling for loot box spending, underscoring the role of randomized rewards. These data provide further prospective evidence for gambling 'migration' in a sample recruited in Western Canada, indicating that young adults who spend money on loot boxes are at elevated risk for real-money gambling."
31681510,Problem gamblers spend less money when loot boxes are removed from a game: a before and after study of Heroes of the Storm.,Zendle David,2019,PeerJ,"Loot boxes are items in video games that may be paid for with real-world money, but which contain randomised contents. There is a reliable correlation between loot box spending and problem gambling severity: the more money gamers spend on loot boxes, the more severe their problem gambling tends to be. However, it is unclear whether this link represents a case in which loot box spending causes problem gambling; a case in which the gambling-like nature of loot boxes cause problem gamblers to spend more money; or whether it simply represents a case in which there is a general dysregulation in in-game spending amongst problem gamblers, nonspecific to loot boxes. The multiplayer video game Heroes of the Storm recently removed loot boxes. In order to better understand links between loot boxes and problem gambling, we conducted an analysis of players of Heroes of the Storm (n = 112) both before and after the removal of loot boxes. There were a complex pattern of results. In general, when loot boxes were removed from Heroes of the Storm, problem gamblers appeared to spend significantly less money in-game in contrast to other groups. These results suggest that the presence of loot boxes in a game may lead to problem gamblers spending more money in-game. It therefore seems possible that links between loot box spending and problem gambling are not due to a general dysregulation in in-game spending amongst problem gamblers, but rather are to do with specific features of loot boxes themselves."
38126068,"Exploring the relationships between psychological variables and loot box engagement, part 1: pre-registered hypotheses.",Close James et al.,2023,Royal Society open science,"Loot boxes are purchasable randomized rewards in video games that share structural and psychological similarities with gambling. Systematic review evidence has established reproducible associations between loot box purchasing and both problem gambling and problem video gaming, perhaps driven by a range of overlapping psychological processes (e.g. impulsivity, gambling-related cognitions, etc.) It has also been argued that loot box engagement may have negative influences on player financial and psychological wellbeing. We conducted a pre-registered survey of 1495 loot box purchasing gamers (LB cohort) and 1223 gamers who purchase other, non-randomized game content (nLB cohort). Our survey confirms 15 of our 23 pre-registered hypotheses against our primary outcome (risky loot box engagement), establishing associations with problem gambling, problem gaming, impulsivity, gambling cognitions, experiences of game-related 'flow' and specific 'distraction and compulsion' motivations for purchase. Results with hypotheses concerning potential harms established that risky loot box engagement was negatively correlated with wellbeing and positively correlated with distress. Overall, results indicate that any risks from loot boxes are liable to disproportionately affect various 'at risk' cohorts (e.g. those experiencing problem gambling or video gaming), thereby reiterating calls for policy action on loot boxes."
38557083,Measuring risky loot box use: An item response theory analysis of the Risky Loot Box Index among adolescents.,Primi Caterina et al.,2024,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,"Loot boxes (LBs) are virtual items embedded within video games that contain randomly generated in-game prizes. LB use can become risky, so it is important to have good measurement instruments, especially among adolescents, who are particularly involved in video gaming and LB purchasing. The present study analyses the adequacy of the Risky Loot Box Index (RLI; Brooks & Clark, 2019) by applying item response theory (IRT). Participants were 2,443 (59% males, mean age = 16.48, SD = 1.22) Italian high school students. The 2PL logistic model was applied. Item properties (i.e., severity and discrimination) were consistent with the aim of efficiently measuring risky LB use. The test information function indicated that the instrument was adequately informative. The RLI appeared to be invariant across gender, with male adolescents more at-risk than female adolescents. LB engagement was also found to explain latent trait of risky LB use over and beyond video gaming and gambling frequency and severity when controlling for gender. The RLI is an efficient screening tool that can specifically measure risky LB use among youth. It can profitably be used for research and intervention purposes. The promising usefulness of the IRT score for clinical purposes is also discussed. (PsycInfo Database Record (c) 2024 APA, all rights reserved)."
32306232,The Role of Virtual Communities in Gambling and Gaming Behaviors: A Systematic Review.,Sirola Anu et al.,2021,Journal of gambling studies,"Gambling opportunities are facilitated by the growth of the Internet and social media platforms. Digital games also increasingly include monetary features, such as microtransactions, blurring the line between gambling and gaming. The Internet provides a variety of virtual communities for gamblers and gamers, but comprehensive research on these communities and their relevance in gambling and monetary gaming behaviors remains scarce. This paper summarizes research of online gambling and monetary gaming communities based on a systematic literature review. A systematic literature search was conducted from five databases: Scopus, Web of Science, PsycINFO, Social Science Premium Collection, and EBSCOhost. The search was limited to empirical articles that focused on gambling or gaming involving money and examined online interaction between gamblers or gamers. Preliminary search resulted in 1056 articles, from which 55 were selected for the analyses based on pre-determined criteria. According to results, online communities serve different functions in gambling and gaming behaviors. Gambling communities are typically forums for discussing and sharing gambling experiences, strategies, and tips as well as gambling problems, while gaming communities are inherently embedded inside a game being an essential part of the gaming experience. Identification with virtual communities influences gambling behavior and monetary gaming behavior through mechanisms of perceived norms, social influence, and community feedback. Whereas some gambling communities may provide protection from excessive gambling habits, gaming communities seem to solely motivate gaming behavior and purchase intentions. The role of online communities should be acknowledged in prevention and treatment of gambling and gaming problems."
33604174,Effects of self-isolation and quarantine on loot box spending and excessive gaming-results of a natural experiment.,Hall Lauren C et al.,2021,PeerJ,"COVID-19 has prompted widespread self-isolation and citywide/countrywide lockdowns. The World Health Organisation (WHO) has encouraged increased digital social activities such as video game play to counteract social isolation during the pandemic. However, there is active debate about the potential for video game overuse, and some video games contain randomised purchases (loot boxes) that may psychologically approximate gambling. In this pre-registered study, we examined the effects of self-isolation and quarantine on excessive gaming and loot box spending. We recruited 1,144 (619 male, 499 female, 26 other) Australian, Aotearoa New Zealand, and US residents who self reported being quarantined or self-isolating (n = 447) or not (n = 619) during the COVID-19 pandemic to a cross-sectional natural experiment. We compared the associations between problem gambling symptomology, excessive gaming and loot box spending for isolated and non-isolated participants. Participants completed the Kessler-10 Psychological Distress Scale, Problem Gambling Severity Index, Internet Gaming Disorder Checklist, a measure of risky engagement with loot boxes, concern about contamination, and reported money spent on loot boxes in the past month, as well as whether they were quarantined or under self-isolation during the pandemic. Although, in our data, excessive gaming and loot box spending were not higher for isolated (self-isolated/ quarantined) compared to non-isolated gamers, the established association between problem gambling symptomology and loot box spending was stronger among isolated gamers than those not isolated. Concerns about being contaminated by germs was also significantly associated with greater excessive gaming and, to a lesser extent, loot box spending irrespective of isolation status. Gamers might be managing concerns about the pandemic with greater video game use, and more problem gamblers may be purchasing loot boxes during the pandemic. It is unclear whether these relationships may represent temporary coping mechanisms which abate when COVID-19 ends. Re-examination as the pandemic subsides may be required. More generally, the results suggest that social isolation during the pandemic may inflate the effect size of some media psychology and gaming effects. We urge caution not to generalise psychological findings from research conducted during the COVID-19 pandemic to be necessarily representative of the magnitude of relationships when not in a pandemic."
37729858,"Loot boxes, gambling-related risk factors, and mental health in Mainland China: A large-scale survey.",Xiao Leon Y et al.,2024,Addictive behaviors,"Loot boxes can be bought with real-world money to obtain random content inside video games. Loot boxes are viewed by many as gambling-like and are prevalently implemented globally. Previous Western and international studies have consistently found loot box spending to be positively correlated with problem gambling. Previous Western studies presented mixed results as to the correlations between loot box purchasing and gambling-related risk factors, mental wellbeing, and psychological distress. A large-scale survey of adult video game players from the People's Republic of China (PRC) (N = 2601) was conducted through Tencent Survey. The positive correlations between loot box spending and problem gambling, and between loot box spending and problem videogaming, were successfully replicated. However, other potential risk factors (i.e., impulsivity/impulsiveness; binary past-year gambling participation status; and sensation-seeking tendencies) either did not positively correlate with loot box spending or only did so weakly. Contrary to expectations, high impulsivity was negatively associated with loot box engagement. The Risky Loot Box Index (RLI) most strongly positively correlated with, and was the best predictor in multiple linear regression models for, loot box spending. The RLI may be effective at measuring loot box harms cross-culturally. A surprising weak positive correlation was found between loot box engagement and PRC players' mental wellbeing, and high psychological distress unexpectedly negatively predicted loot box purchasing. Although gambling-like, the risk and protective factors of loot boxes are seemingly different, meaning they should rightfully be treated as novel products. Cross-cultural research can contribute to a better understanding of loot box harms."
40945152,Better than industry self-regulation: Compliance of mobile games with newly adopted and actively enforced loot box probability disclosure law in South Korea.,Xiao Leon Y et al.,2025,Acta psychologica,"Loot boxes are gambling-like products inside video games that players can purchase with real-world money to obtain random rewards. Stakeholders (e.g., players, parents, and policymakers) are concerned about their potential harms, e.g., overspending and normalizing gambling. Recognizing that previous industry self-regulation has failed to solve the problem, South Korea started requiring companies to disclose the probabilities of getting different loot box rewards by law from March 2024 onwards. Content analysis found that 90 of the 100 highest-grossing iPhone games contained paid loot boxes, but only 84.4 % of those games disclosed probabilities, meaning that compliance was still not perfect. The accessibility and visual prominence of most disclosures should also be improved. South Korean regulators are actively monitoring games for compliance, including processing player complaints, and taking enforcement actions against non-compliant companies. Several companies have been fined for illegally publishing false or misleading probabilities. Other countries still solely relying on industry self-regulation should consider adopting actively enforced legal regulation instead to improve consumer protection. Behavioral addiction-related policymaking should be evidence-based. Although novel measures could justifiably be adopted based on the precautionary principle despite a lack of scientific evidence, post-implementation research on the measure's uptake and effectiveness must be conducted. Such evidence can improve policy design (including the repeal of ineffective policies) and advise other countries. Policies should be accompanied with earmarked funding for independent research assessing their efficacy; companies should be legally required to provide data; and policymakers should work with researchers before implementation to conduct longitudinal research following open science principles."
35129238,"Loot box engagement: relationships with educational attainment, employment status and earnings in a cohort of 16 000 United Kingdom gamers.",Close James et al.,2022,"Addiction (Abingdon, England)","Loot boxes are purchasable randomised rewards in video games that share structural and psychological similarities with gambling. Systematic review evidence has established reproducible associations between loot box purchasing and both problem gambling and problem video gaming. We aimed to measure the association between loot box engagement and socioeconomic correlates. The study was a cross-sectional online survey using the recruitment platform, Prolific. United Kingdom (UK). A cohort of 16 196 UK adults (18 + years) self-reporting as video gamers. Respondents were asked about their game-related purchasing behaviour (including loot boxes), recent monthly spend on loot boxes and gambling engagement (gambling in any form; gambling online; playing 'social casino' games). A range of demographic variables were simultaneously captured, including age, sex, ethnicity, earnings, employment and educational attainment. Overall, 17.16% of gamers in our cohort purchased loot boxes, with a mean self-reported monthly spend of £29.12. These loot box purchasers are more likely to gamble (45.97% gamble) than people who make other types of game-related purchases (on aggregate, 28.13% of non-loot box purchasers gamble), and even greater still than those who do not make any game related purchases (24.38% gamble P < 0.001). Loot box engagement (as binary yes/no or as monthly spend normalised to earnings) was significantly associated with younger age (P < 0.001 and P < 0.001; respectively, for binary yes/no and monthly spend, adjusted for false discovery rate correction), male sex (P < 0.001 and P = 0.025), non-university educational attainment (P < 0.001 and P < 0.001) and unemployment (P = 0.003 and P = < 0.001). Lower earners spent a higher proportion of monthly earnings on loot boxes (P < 0.001). The demographic associations of video game loot box engagement (younger age, male sex, non-university educational attainment and unemployment) mirror those of other addictive and problematic behaviours, including disordered gambling, drug and alcohol misuse."
31030176,"Associations between loot box use, problematic gaming and gambling, and gambling-related cognitions.",Brooks Gabriel A et al.,2019,Addictive behaviors,"Loot boxes are virtual goods in video games that produce randomly-generated in-game rewards, and have attracted scrutiny because of a resemblance to gambling. This study tests relationships between gaming involvement, engagement with loot boxes, and their associations with disordered gambling and gambling-related cognitions. Online questionnaires were completed by 144 adults via MTurk (Study 1) and 113 undergraduates (Study 2). Gaming and loot box-related variables included estimated time spent gaming and monthly expenditure, the Internet Gaming Disorder Scale (IGDS), and questions that assessed perceptions and behaviours related to loot boxes. Most participants thought loot boxes were a form of gambling (68.1% & 86.2%). A subset of items were condensed into a unidimensional ""Risky Loot-box Index"" (RLI) via exploratory factor analysis. In Study 1, the RLI showed significant associations with the Problem Gambling Severity Index (r = .491, p < .001) and the Gambling Related Cognitions Scale (r = .518, p < .001). Overall, gambling-related variables predicted 37.1% (p < .001) of the variance in RLI scores. Findings were replicated, though attenuated, in Study 2. These results demonstrate that besides the surface similarity of loot boxes to gambling, loot box engagement is correlated with gambling beliefs and problematic gambling behaviour in adult gamers."
38179078,"Exploring the relationships between psychological variables and loot box engagement, part 2: exploratory analyses of complex relationships.",Spicer Stuart Gordon et al.,2024,Royal Society open science,"In a pre-registered survey linked to this paper (Exploring the relationships between psychological variables and loot box engagement, part 1: pre-registered hypotheses), we confirmed bivariate associations between engagement with loot boxes (purchasable randomized rewards in video games) and measures of problem gambling, problem video gaming, impulsivity, gambling cognitions, experiences of game-related 'flow', psychological distress and reduced wellbeing. However, these variables have complex relationships, so to gain further insights, we analysed the dataset (1495 gamers who purchase loot boxes and 1223 purchasers of non-randomized content) in a series of Bayesian mixed-effects multiple regressions with a zero-inflation component. The results challenge some well-established results in the literature, including associations between loot box engagement and problematic gambling measures, instead suggesting that this relationship might be underpinned by shared variance with problem video gaming and gambling-related cognitions. An entirely novel discovery revealed a complex interaction between experiences of flow and loot box engagement. Distress and wellbeing are both (somewhat contradictorily) predictive of participants engaging with loot boxes, but neither correlate with increasing loot box risky engagement/spend (among those who engage). Our findings unravel some of the nuances underpinning loot box engagement, yet remain consistent with narratives that policy action on loot boxes will have benefits for harm minimization."
39607381,"Are Today's Gamers Tomorrow's Gamblers? The Relationship Between Problem Gaming and Online Problem Gambling, and the Indirect Effect of Purchasing Loot Boxes' Risk.",Huțul Andreea et al.,2025,"Cyberpsychology, behavior and social networking","The present study aims to bridge the gap regarding the potential influence of problem gaming on problem gambling (PG) by examining the potential indirect effect of risky loot box use in this relationship. We also aim to examine these relationships in an understudied cultural context, that is, Eastern European, thus enlarging the current geographical scope of the research on problematic gaming and gambling. The research was conducted on a sample of 703 Romanians (56.5 percent male, 43.5 percent female), aged between 18 and 46 (M = 23.07; SD = 5.24), who play video games frequently. They completed instruments measuring problem gaming, online PG, and purchasing loot boxes risk. Our findings also indicate that risky engagement with loot box mechanism had a significant indirect effect on the association between the two types of problematic behavior (i.e., gaming and gambling). This suggests that excessive involvement in online gaming is linked with an increased propensity for problematic use of loot boxes, and further with a higher risk of PG. Our results indicate that higher involvement in video gaming may be associated with higher levels of risky engagement, which could plausibly lead to a greater likelihood of purchasing them and this more problematic relationship with loot boxes further increases the risk of PG. Our study contributes to advancing knowledge about these constructs while suggesting the negative impact of loot boxes in that their acquisition is related to higher involvement in online gambling."
34882238,Loot boxes use as a new form of gambling within video games.,Sanmartín Francisco Javier et al.,2023,Adicciones,"Loot boxes are items within video games which players pay to open and, ultimately, to randomly obtain an object whose value is initially unknown. Being easily accessible for both teenagers and adults, loot boxes have been associated with gambling. The purpose of this study was to explore the use of loot boxes and to analyze whether it is associated with guilt, loss of control, and emotional distress. To this end, 475 participants (266 adolescents and 209 adults) were surveyed on their habits regarding loot boxes and gaming. The results showed that teenagers invest more money in loot boxes than adults. This expenditure increases when a new item is announced on online platforms (Twitch, YouTube). Additionally, not obtaining the coveted items, which is common due to loot box randomness, predicts greater levels of guilt and emotional distress, while obtaining them predicts subsequent loss of control. Thus, 45.5% reported guilt over purchasing, 50% distress and 17% loss of control. Summarizing, loot boxes are increasingly present in video games, and owing to their psycho-emotional outcomes, it is necessary for future research to address this matter in order to develop prevention strategies and to provide support to vulnerable populations."
36998766,"Beneath the label: unsatisfactory compliance with ESRB, PEGI and IARC industry self-regulation requiring loot box presence warning labels by video game companies.",Xiao Leon Y,2023,Royal Society open science,"Loot boxes in video games are a form of in-game transactions with randomized elements. Concerns have been raised about loot boxes' similarities with gambling and their potential harms (e.g. overspending). Recognizing players' and parents' concerns, in mid-2020, the Entertainment Software Rating Board (ESRB) and PEGI (Pan-European Game Information) announced that games containing loot boxes or any forms of in-game transactions with randomized elements will be marked by a new label stating 'In-Game Purchases (Includes Random Items)'. The same label has also been adopted by the International Age Rating Coalition (IARC) and thereby assigned to games available on digital storefronts, e.g. the Google Play Store. The label is intended to provide more information to consumers and allow them to make more informed purchasing decisions. This measure is not legally binding and has been adopted as industry self-regulation or corporate social responsibility. Previous research has suggested that industry self-regulation might not be effectively complied with due to conflicting commercial interests. Compliance with the ESRB's, PEGI's and IARC's loot box presence warning label was assessed in two studies. The first study found that 60.6% of all games labelled by either the ESRB or PEGI (or 16.1% using a more equitable methodology) were not labelled by the other. The majority of the inconsistencies were caused by the ESRB refusing to apply the measure retroactively. Five instances where one age rating organization culpably failed to accurately identify loot box presence were identified (although only two cases were admitted by the relevant organization). Generally, with newly released games, consumers can rely on the PEGI and ESRB labels. PEGI has retroactively labelled many older games, meaning that consumers can expect the labelling to be accurate. However, due to the ESRB's policies (which it has refused to improve), North American consumers cannot rely on the label for many older games containing loot boxes, unlike their European counterparts. The data suggest that the loot box issue is far more pressing on mobile platforms than console/PC platforms. The second study found that 71.0% of popular games containing loot boxes on the Google Play Store (whose age rating system is regulated through IARC) did not display the label and were therefore non-compliant. The IARC's current policy on the Google Play Store is that only games submitted for rating after February 2022 are required to be labelled. This policy (which the IARC has refused to improve) means that most popular and high-grossing games can be, and presently are, marketed without the label, thus significantly reducing the measure's scope and potential benefit. The Apple App Store still does not allow loot box presence to be disclosed. At present, consumers and parents cannot rely on this self-regulatory measure to provide accurate information as to loot box presence for mobile games. Due to their immense scale, the mobile markets pose regulatory and enforcement challenges that PEGI admits are not yet resolved. The mere existence of this measure cannot be used to justify the non-regulation of loot boxes by governments, given the poor compliance and doubtful efficacy (even if when complied with satisfactorily). Improvements to the existing age rating systems are proposed. Preregistered Stage 1 protocol: https://doi.org/10.17605/OSF.IO/E6QBM (date of in-principle acceptance: 12 January 2023)."
34945245,Development and Validation of the RAFFLE: A Measure of Reasons and Facilitators for Loot Box Engagement.,Lloyd Joanne et al.,2021,Journal of clinical medicine,"Qualitative studies have identified a diverse array of motivations for purchasing items within video games through chance-based mechanisms (i.e., ""loot boxes""). Given that some individuals-particularly those at risk of disordered gaming and/or gambling-are prone to over-involvement with loot box purchasing, it is important to have a reliable, valid means of measuring the role of different motivations in driving purchasing behaviour. Building on prior qualitative research, this paper reports the development and validation of the ""RAFFLE"" scale, to measure the Reasons and Facilitators for Loot box Engagement. A 23-item, seven-factor scale was developed through cognitive interviews (n = 25) followed by two surveys of UK-based gamers who purchase loot boxes; analysed via exploratory (n = 503) and confirmatory (n = 1495) factor analysis, respectively. Subscales encompassed ""enhancement'; ""progression'; ""social pressure'; ""distraction/compulsion'; ""altruism'; ""fear of missing out'; and ""resale"". The scale showed good criterion and construct validity (correlating well with measures of loot box engagement; the risky loot box index (r = 0.63) and monthly self-reported spend (r = 0.38)), and good internal validity (Cronbach's alpha = 0.84). Parallels with, and divergence from, motivations for related activities of gaming and gambling, and alignment with broader theoretical models of motivation, are discussed."
40839469,Physical card pack and especially video game loot box spending are both positively correlated with problem gambling but not linked to negative mental health: An international survey.,Xiao Leon Y et al.,2026,Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors,"Card packs are physical products providing random content that companies rely on to monetize trading or collectible card games. Loot boxes are equivalent digital products inside video games that can similarly be bought to obtain randomized rewards. Both products are psychologically similar to gambling because the player can ""win"" by obtaining rare and valuable rewards or alternatively ""lose"" by obtaining nonvaluable rewards. Loot box spending has been repeatedly and reliably linked to problem gambling. However, the link between card pack spending and gambling has been little studied. We recruited card game players living in English-speaking Western countries (N = 1,961) to assess the links between card pack and loot box spending on one hand and problem gambling and mental health outcomes on the other. Spending money on physical card packs (r = 0.15), loot boxes (r = 0.31), and virtual card packs (a specific type of loot boxes found in a specific genre of card-based video games; r = 0.22) were all linked to problem gambling but at markedly different strengths. Spending money on all these gambling-like products were not associated with negative mental health. Spending money on certain subcategories of loot boxes differs from overall spending. The current legal definitions of ""gambling"" in many countries should be modernized using scientific evidence: Presently, the law (if properly enforced) would regulate products that are less strongly correlated with problem gambling and therefore arguably less potentially harmful (e.g., physical card packs), but fails to regulate arguably more harmful products that are more strongly correlated with problem gambling (e.g., loot boxes). (PsycInfo Database Record (c) 2026 APA, all rights reserved)."
36623473,Understanding adolescent esports bettors: Are they a homogeneous group?,Richard Jeremie et al.,2023,Addictive behaviors,"With the rapid rise of competitive video gaming (esports), increased attention has been placed on understanding the profiles of youth who wager on esports. With adolescents being at increased risk of gambling problems and endorsing high rates of past year engagement in video games, there is a need for research investigating psychological and social correlates of adolescent esports bettors and to identify whether youth who engage in esports betting are a homogenous group. Survey responses were collected from 5,997 high-school students (48.4 % male, Mage = 14.7 years [SD = 1.6], age range 12-17) from Wood County, Ohio, United States. A latent class analysis was conducted to identify subgroups of esports bettors based on self-reported measures of gambling frequency, risk for problem gambling, gaming frequency, disordered gaming, preference for virtual life and risky loot box use. Results indicated that 5.5 % of the sample reported esports betting over the past year. Four classes of esports bettors were identified which were indicative of a group of low-risk esports bettors, a group of esports bettors at risk of gaming problems, a group of esports bettors at risk of gambling problems, and a group of esports bettors at high risk of both gambling and gaming problems. Although no significant differences based on sex and age were noted between the classes, differences were noted in experienced childhood adversity, mental health symptoms and problem behavior severity. Results are discussed in line with previous findings relevant to adolescent and adult esports betting."
35834117,To Pay or Just Play? Examining Individual Differences Between Purchasers and Earners of Loot Boxes in Overwatch.,Larche Chanel J et al.,2023,Journal of gambling studies,"Video-game loot boxes are a popular form of microtransaction that have been widely criticized for their structural similarities to gambling. Recent research linking loot box expenditure to gambling activity has illuminated potential harms associated with loot box use. However, whether the harms differ between earning loot boxes through gameplay versus acquiring loot boxes through purchasing remains understudied. This pre-registered study explores gambling, gaming and loot box-related harms between loot box purchasers and earners in the scope of the game Overwatch. To our knowledge, this is the first study to assess loot box-related harms in a single game. We found that loot box purchasers experienced greater video-game related expenditure harms, risky loot box use, impulsivity related to planning and reward reactivity in comparison to loot box earners. Surprisingly, Overwatch loot box earners displayed greater gambling-related harms and there were no differences in general problem video-gaming between the two groups. Our results suggest that the relationship between loot box purchasing and gambling is in need of refined examination. Particularly, our results indicate that potential harms stemming from loot box engagement should be assessed on a game-by-game basis in order to better understand the potentially problematic nature of loot box use."
30845155,Loot boxes are again linked to problem gambling: Results of a replication study.,Zendle David et al.,2019,PloS one,"Loot boxes are items in video games that contain randomised contents and can be purchased with real-world money. Similarities between loot boxes and forms of gambling have led to questions about their legal status, and whether they should be regulated as gambling. Previous research has suggested a link between the amount that gamers spend on loot boxes and their problem gambling: The more individuals spent on loot boxes, the more severe their problem gambling. However, the generalisability of prior work may be limited by both the self-selected nature of the sample under test, and the fact that participants were aware of the study's aims. A large-scale survey of gamers (n = 1,172) was undertaken to determine if this link remained when these limitations of previous work were taken into account. These gamers did not self-select into a loot box study and were not aware of the study's aims. This study found similar evidence for a link (η2 = 0.051) between the amount that gamers spent on loot boxes and the severity of their problem gambling. Previous research strongly suggested both the size and the direction of link between loot box use and problem gambling. This paper provides further support for this link. These results suggest either that loot boxes act as a gateway to problem gambling, or that individuals with gambling problems are drawn to spend more on loot boxes. In either case, we believe that these results suggest there is good reason to regulate loot boxes."
40369012,Increased user engagement on YouTube for loot box content and its potential relevance for behavioural addictions.,Smith Elke et al.,2025,Scientific reports,"Video games frequently contain loot boxes, i.e. virtual in-game items sharing structural similarities with gambling. On YouTube©, there are multi-million subscriber channels prominently featuring loot box-related content. A gamblification of digital games may increase player engagement, and we tested if user engagement on YouTube is linked to loot box content. We extracted aggregate user engagement measures from more than 22 thousand YouTube gaming videos with and without focused display of loot boxes. Principal component analysis was used to reduce dimensionality and derive components reflecting overall and sustained, and relative user engagement, respectively. Confirming our pre-registered hypothesis (see https://osf.io/nh7zr ), a significant effect of loot box content on the first principal component was found, reflecting higher overall and sustained user engagement for videos featuring loot box content. This increased engagement may be linked to the gambling-like properties of the reward structure conveyed by loot boxes. Publicly available user data may serve as an early indicator of potential changes in problematic internet use and gambling-related behaviour."
40569695,Widespread illegal video game advertising in the UK and South Korea: Many adverts not disclosing loot box presence found using Meta's ad repository.,Xiao Leon Y et al.,2025,Journal of behavioral addictions,"Gambling advertising on social media negatively affects public health. Advertising repositories represent a novel data access method for studying the commercial and legal determinants of health. Loot boxes are gambling-like products in video games that players, including young children, buy to obtain random rewards. Their advertising is specifically regulated in the UK and South Korea: loot box presence must be disclosed in any advertising. This rule is enforced differently: the UK relies on industry self-regulation with little deterrence effect, whilst South Korea imposes strict penalties. We assessed and compared compliance to inform policymaking. Using Meta's advertising repository, we searched whether 394 popular mobile, console, and PC games with loot boxes advertised in the UK and South Korea. The most recently published ads after the rules came into force (N = 2,358) were analysed for compliance. Only 8.4% of UK and 7.6% of South Korean ads disclosed loot box presence. Further, 71.4% of UK disclosures and 44.9% of Korean disclosures were not reasonably visually prominent as required, thus the true compliance rates were 2.4% and 4.2%. Most video games are not complying with international loot box advertising rules. More active enforcement, imposing stricter penalties against non-compliance, providing detailed guidance, and educating foreign companies may lead to better compliance. Governments should not rely on toothless industry self-regulation or unenforced laws to address public health concerns when the evidence indicates widespread non-compliance. Policymakers should adopt laws requiring companies to provide data access to facilitate better independent research."
35381433,Exploring the association between loot boxes and problem gambling: Are video gamers referring to loot boxes when they complete gambling screening tools?,Sidloski Benjamin et al.,2022,Addictive behaviors,"Concerns regarding the similarities between video game 'loot boxes' and gambling have been supported by correlations in survey studies between loot box engagement and problem gambling scores. It is generally noted that this correlation could reflect loot box users migrating to conventional gambling, and/or people with gambling problems being attracted to loot boxes when they play video games. We describe a third possibility, that when gamers complete problem gambling screens they may be referring to harms incurred from their loot box use. Using three secondary datasets from cross-sectional online surveys, we explore this account in two ways. First, in participants who do not endorse any participation in conventional forms of gambling, we compare rates of positive (i.e. non-zero) scores on the Problem Gambling Severity Index (PGSI) in participants with and without loot box use. Second, noting that some PGSI items have less relevance to loot box use versus gambling, we compare endorsement rates of individual PGSI items, in gamers versus gamblers, and loot box users vs non-loot box users (focusing on item 3 ""going back another day to win back the money you lost""). In analysis 1, positive PGSI scorers among non-gamblers were significantly elevated in loot box users vs non-loot box users, although absolute numbers were low overall. In analysis 2, there were no reliable differences (gamers vs gamblers, loot box users vs non-loot box users) in PGSI item 3 endorsement rates. We conclude that these results provide partial support for this third option, and highlight a need for future studies to consider this possibility more directly."
